WEEK_YEAR_KEY,WEEK_KEY,WEEK_YEAR_SHORT_DES,MONTH_YEAR_KEY,MONTH_KEY,MONTH_YEAR_SHORT_DES,YEAR_WEEK_KEY,LOAD_TIME
190512,12,1905W12,190503,3,Mar 1905,1905,
190513,13,1905W13,190503,3,Mar 1905,1905,
190514,14,1905W14,190504,4,Apr 1905,1905,
190515,15,1905W15,190504,4,Apr 1905,1905,
190516,16,1905W16,190504,4,Apr 1905,1905,
190517,17,1905W17,190504,4,Apr 1905,1905,
190518,18,1905W18,190505,5,May 1905,1905,
190519,19,1905W19,190505,5,May 1905,1905,
190520,20,1905W20,190505,5,May 1905,1905,
190521,21,1905W21,190505,5,May 1905,1905,
190522,22,1905W22,190505,5,May 1905,1905,
190523,23,1905W23,190506,6,Jun 1905,1905,
190524,24,1905W24,190506,6,Jun 1905,1905,
190525,25,1905W25,190506,6,Jun 1905,1905,
190526,26,1905W26,190506,6,Jun 1905,1905,
190527,27,1905W27,190507,7,Jul 1905,1905,
190528,28,1905W28,190507,7,Jul 1905,1905,
190529,29,1905W29,190507,7,Jul 1905,1905,
190530,30,1905W30,190507,7,Jul 1905,1905,
190531,31,1905W31,190507,7,Jul 1905,1905,
190532,32,1905W32,190508,8,Aug 1905,1905,
190533,33,1905W33,190508,8,Aug 1905,1905,
190534,34,1905W34,190508,8,Aug 1905,1905,
190535,35,1905W35,190508,8,Aug 1905,1905,
190536,36,1905W36,190509,9,Sep 1905,1905,
190537,37,1905W37,190509,9,Sep 1905,1905,
190538,38,1905W38,190509,9,Sep 1905,1905,
190539,39,1905W39,190509,9,Sep 1905,1905,
190540,40,1905W40,190510,10,Oct 1905,1905,
190541,41,1905W41,190510,10,Oct 1905,1905,
190542,42,1905W42,190510,10,Oct 1905,1905,
190543,43,1905W43,190510,10,Oct 1905,1905,
190544,44,1905W44,190510,10,Oct 1905,1905,
190545,45,1905W45,190511,11,Nov 1905,1905,
190546,46,1905W46,190511,11,Nov 1905,1905,
190547,47,1905W47,190511,11,Nov 1905,1905,
190548,48,1905W48,190511,11,Nov 1905,1905,
190549,49,1905W49,190512,12,Dec 1905,1905,
190550,50,1905W50,190512,12,Dec 1905,1905,
190551,51,1905W51,190512,12,Dec 1905,1905,
190552,52,1905W52,190512,12,Dec 1905,1905,
190601,1,1906W01,190601,1,Jan 1906,1906,
190602,2,1906W02,190601,1,Jan 1906,1906,
190603,3,1906W03,190601,1,Jan 1906,1906,
190604,4,1906W04,190601,1,Jan 1906,1906,
190605,5,1906W05,190601,1,Jan 1906,1906,
190606,6,1906W06,190602,2,Feb 1906,1906,
190607,7,1906W07,190602,2,Feb 1906,1906,
190608,8,1906W08,190602,2,Feb 1906,1906,
190609,9,1906W09,190602,2,Feb 1906,1906,
190610,10,1906W10,190603,3,Mar 1906,1906,
190611,11,1906W11,190603,3,Mar 1906,1906,
190612,12,1906W12,190603,3,Mar 1906,1906,
190613,13,1906W13,190603,3,Mar 1906,1906,
190614,14,1906W14,190604,4,Apr 1906,1906,
190615,15,1906W15,190604,4,Apr 1906,1906,
190616,16,1906W16,190604,4,Apr 1906,1906,
190617,17,1906W17,190604,4,Apr 1906,1906,
190618,18,1906W18,190604,4,Apr 1906,1906,
190619,19,1906W19,190605,5,May 1906,1906,
190620,20,1906W20,190605,5,May 1906,1906,
190621,21,1906W21,190605,5,May 1906,1906,
190622,22,1906W22,190605,5,May 1906,1906,
190623,23,1906W23,190606,6,Jun 1906,1906,
190624,24,1906W24,190606,6,Jun 1906,1906,
190625,25,1906W25,190606,6,Jun 1906,1906,
190626,26,1906W26,190606,6,Jun 1906,1906,
190627,27,1906W27,190607,7,Jul 1906,1906,
190628,28,1906W28,190607,7,Jul 1906,1906,
190629,29,1906W29,190607,7,Jul 1906,1906,
190630,30,1906W30,190607,7,Jul 1906,1906,
190631,31,1906W31,190607,7,Jul 1906,1906,
190632,32,1906W32,190608,8,Aug 1906,1906,
190633,33,1906W33,190608,8,Aug 1906,1906,
190634,34,1906W34,190608,8,Aug 1906,1906,
190635,35,1906W35,190608,8,Aug 1906,1906,
190636,36,1906W36,190609,9,Sep 1906,1906,
190637,37,1906W37,190609,9,Sep 1906,1906,
190638,38,1906W38,190609,9,Sep 1906,1906,
190639,39,1906W39,190609,9,Sep 1906,1906,
190640,40,1906W40,190610,10,Oct 1906,1906,
190641,41,1906W41,190610,10,Oct 1906,1906,
190642,42,1906W42,190610,10,Oct 1906,1906,
190643,43,1906W43,190610,10,Oct 1906,1906,
190644,44,1906W44,190610,10,Oct 1906,1906,
190645,45,1906W45,190611,11,Nov 1906,1906,
190646,46,1906W46,190611,11,Nov 1906,1906,
190647,47,1906W47,190611,11,Nov 1906,1906,
190648,48,1906W48,190611,11,Nov 1906,1906,
190649,49,1906W49,190612,12,Dec 1906,1906,
190650,50,1906W50,190612,12,Dec 1906,1906,
190651,51,1906W51,190612,12,Dec 1906,1906,
190652,52,1906W52,190612,12,Dec 1906,1906,
190701,1,1907W01,190612,12,Dec 1906,1907,
190702,2,1907W02,190701,1,Jan 1907,1907,
190703,3,1907W03,190701,1,Jan 1907,1907,
190704,4,1907W04,190701,1,Jan 1907,1907,
190705,5,1907W05,190701,1,Jan 1907,1907,
190706,6,1907W06,190702,2,Feb 1907,1907,
190707,7,1907W07,190702,2,Feb 1907,1907,
190708,8,1907W08,190702,2,Feb 1907,1907,
190709,9,1907W09,190702,2,Feb 1907,1907,
190710,10,1907W10,190703,3,Mar 1907,1907,
190711,11,1907W11,190703,3,Mar 1907,1907,
190712,12,1907W12,190703,3,Mar 1907,1907,
190713,13,1907W13,190703,3,Mar 1907,1907,
190714,14,1907W14,190704,4,Apr 1907,1907,
190715,15,1907W15,190704,4,Apr 1907,1907,
190716,16,1907W16,190704,4,Apr 1907,1907,
190717,17,1907W17,190704,4,Apr 1907,1907,
190718,18,1907W18,190704,4,Apr 1907,1907,
190719,19,1907W19,190705,5,May 1907,1907,
190720,20,1907W20,190705,5,May 1907,1907,
190721,21,1907W21,190705,5,May 1907,1907,
190722,22,1907W22,190705,5,May 1907,1907,
190723,23,1907W23,190706,6,Jun 1907,1907,
190724,24,1907W24,190706,6,Jun 1907,1907,
190725,25,1907W25,190706,6,Jun 1907,1907,
190726,26,1907W26,190706,6,Jun 1907,1907,
190727,27,1907W27,190707,7,Jul 1907,1907,
190728,28,1907W28,190707,7,Jul 1907,1907,
190729,29,1907W29,190707,7,Jul 1907,1907,
190730,30,1907W30,190707,7,Jul 1907,1907,
190731,31,1907W31,190707,7,Jul 1907,1907,
190732,32,1907W32,190708,8,Aug 1907,1907,
190733,33,1907W33,190708,8,Aug 1907,1907,
190734,34,1907W34,190708,8,Aug 1907,1907,
190735,35,1907W35,190708,8,Aug 1907,1907,
190736,36,1907W36,190709,9,Sep 1907,1907,
190737,37,1907W37,190709,9,Sep 1907,1907,
190738,38,1907W38,190709,9,Sep 1907,1907,
190739,39,1907W39,190709,9,Sep 1907,1907,
190740,40,1907W40,190709,9,Sep 1907,1907,
190741,41,1907W41,190710,10,Oct 1907,1907,
190742,42,1907W42,190710,10,Oct 1907,1907,
190743,43,1907W43,190710,10,Oct 1907,1907,
190744,44,1907W44,190710,10,Oct 1907,1907,
190745,45,1907W45,190711,11,Nov 1907,1907,
190746,46,1907W46,190711,11,Nov 1907,1907,
190747,47,1907W47,190711,11,Nov 1907,1907,
190748,48,1907W48,190711,11,Nov 1907,1907,
190749,49,1907W49,190712,12,Dec 1907,1907,
190750,50,1907W50,190712,12,Dec 1907,1907,
190751,51,1907W51,190712,12,Dec 1907,1907,
190752,52,1907W52,190712,12,Dec 1907,1907,
190801,1,1908W01,190712,12,Dec 1907,1908,
190802,2,1908W02,190801,1,Jan 1908,1908,
190803,3,1908W03,190801,1,Jan 1908,1908,
190804,4,1908W04,190801,1,Jan 1908,1908,
190805,5,1908W05,190801,1,Jan 1908,1908,
190806,6,1908W06,190802,2,Feb 1908,1908,
190807,7,1908W07,190802,2,Feb 1908,1908,
190808,8,1908W08,190802,2,Feb 1908,1908,
190809,9,1908W09,190802,2,Feb 1908,1908,
190810,10,1908W10,190803,3,Mar 1908,1908,
190811,11,1908W11,190803,3,Mar 1908,1908,
190812,12,1908W12,190803,3,Mar 1908,1908,
190813,13,1908W13,190803,3,Mar 1908,1908,
190814,14,1908W14,190803,3,Mar 1908,1908,
190815,15,1908W15,190804,4,Apr 1908,1908,
190816,16,1908W16,190804,4,Apr 1908,1908,
190817,17,1908W17,190804,4,Apr 1908,1908,
190818,18,1908W18,190804,4,Apr 1908,1908,
190819,19,1908W19,190805,5,May 1908,1908,
190820,20,1908W20,190805,5,May 1908,1908,
190821,21,1908W21,190805,5,May 1908,1908,
190822,22,1908W22,190805,5,May 1908,1908,
190823,23,1908W23,190806,6,Jun 1908,1908,
190824,24,1908W24,190806,6,Jun 1908,1908,
190825,25,1908W25,190806,6,Jun 1908,1908,
190826,26,1908W26,190806,6,Jun 1908,1908,
190827,27,1908W27,190806,6,Jun 1908,1908,
190828,28,1908W28,190807,7,Jul 1908,1908,
190829,29,1908W29,190807,7,Jul 1908,1908,
190830,30,1908W30,190807,7,Jul 1908,1908,
190831,31,1908W31,190807,7,Jul 1908,1908,
190832,32,1908W32,190808,8,Aug 1908,1908,
190833,33,1908W33,190808,8,Aug 1908,1908,
190834,34,1908W34,190808,8,Aug 1908,1908,
190835,35,1908W35,190808,8,Aug 1908,1908,
190836,36,1908W36,190808,8,Aug 1908,1908,
190837,37,1908W37,190809,9,Sep 1908,1908,
190838,38,1908W38,190809,9,Sep 1908,1908,
190839,39,1908W39,190809,9,Sep 1908,1908,
190840,40,1908W40,190809,9,Sep 1908,1908,
190841,41,1908W41,190810,10,Oct 1908,1908,
190842,42,1908W42,190810,10,Oct 1908,1908,
190843,43,1908W43,190810,10,Oct 1908,1908,
190844,44,1908W44,190810,10,Oct 1908,1908,
190845,45,1908W45,190811,11,Nov 1908,1908,
190846,46,1908W46,190811,11,Nov 1908,1908,
190847,47,1908W47,190811,11,Nov 1908,1908,
190848,48,1908W48,190811,11,Nov 1908,1908,
190849,49,1908W49,190811,11,Nov 1908,1908,
190850,50,1908W50,190812,12,Dec 1908,1908,
190851,51,1908W51,190812,12,Dec 1908,1908,
190852,52,1908W52,190812,12,Dec 1908,1908,
190853,53,1908W53,190812,12,Dec 1908,1908,
190901,1,1909W01,190901,1,Jan 1909,1909,
190902,2,1909W02,190901,1,Jan 1909,1909,
190903,3,1909W03,190901,1,Jan 1909,1909,
190904,4,1909W04,190901,1,Jan 1909,1909,
190905,5,1909W05,190902,2,Feb 1909,1909,
190906,6,1909W06,190902,2,Feb 1909,1909,
190907,7,1909W07,190902,2,Feb 1909,1909,
190908,8,1909W08,190902,2,Feb 1909,1909,
190909,9,1909W09,190903,3,Mar 1909,1909,
190910,10,1909W10,190903,3,Mar 1909,1909,
190911,11,1909W11,190903,3,Mar 1909,1909,
190912,12,1909W12,190903,3,Mar 1909,1909,
190913,13,1909W13,190903,3,Mar 1909,1909,
190914,14,1909W14,190904,4,Apr 1909,1909,
190915,15,1909W15,190904,4,Apr 1909,1909,
190916,16,1909W16,190904,4,Apr 1909,1909,
190917,17,1909W17,190904,4,Apr 1909,1909,
190918,18,1909W18,190905,5,May 1909,1909,
190919,19,1909W19,190905,5,May 1909,1909,
190920,20,1909W20,190905,5,May 1909,1909,
190921,21,1909W21,190905,5,May 1909,1909,
190922,22,1909W22,190905,5,May 1909,1909,
190923,23,1909W23,190906,6,Jun 1909,1909,
190924,24,1909W24,190906,6,Jun 1909,1909,
190925,25,1909W25,190906,6,Jun 1909,1909,
190926,26,1909W26,190906,6,Jun 1909,1909,
190927,27,1909W27,190907,7,Jul 1909,1909,
190928,28,1909W28,190907,7,Jul 1909,1909,
190929,29,1909W29,190907,7,Jul 1909,1909,
190930,30,1909W30,190907,7,Jul 1909,1909,
190931,31,1909W31,190908,8,Aug 1909,1909,
190932,32,1909W32,190908,8,Aug 1909,1909,
190933,33,1909W33,190908,8,Aug 1909,1909,
190934,34,1909W34,190908,8,Aug 1909,1909,
190935,35,1909W35,190908,8,Aug 1909,1909,
190936,36,1909W36,190909,9,Sep 1909,1909,
190937,37,1909W37,190909,9,Sep 1909,1909,
190938,38,1909W38,190909,9,Sep 1909,1909,
190939,39,1909W39,190909,9,Sep 1909,1909,
190940,40,1909W40,190910,10,Oct 1909,1909,
190941,41,1909W41,190910,10,Oct 1909,1909,
190942,42,1909W42,190910,10,Oct 1909,1909,
190943,43,1909W43,190910,10,Oct 1909,1909,
190944,44,1909W44,190911,11,Nov 1909,1909,
190945,45,1909W45,190911,11,Nov 1909,1909,
190946,46,1909W46,190911,11,Nov 1909,1909,
190947,47,1909W47,190911,11,Nov 1909,1909,
190948,48,1909W48,190911,11,Nov 1909,1909,
190949,49,1909W49,190912,12,Dec 1909,1909,
190950,50,1909W50,190912,12,Dec 1909,1909,
190951,51,1909W51,190912,12,Dec 1909,1909,
190952,52,1909W52,190912,12,Dec 1909,1909,
191001,1,1910W01,191001,1,Jan 1910,1910,
191002,2,1910W02,191001,1,Jan 1910,1910,
191003,3,1910W03,191001,1,Jan 1910,1910,
191004,4,1910W04,191001,1,Jan 1910,1910,
191005,5,1910W05,191001,1,Jan 1910,1910,
191006,6,1910W06,191002,2,Feb 1910,1910,
191007,7,1910W07,191002,2,Feb 1910,1910,
